Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,JNKBF01A56M800081,SRF,OCEANSIDE      ,NY,11572,NASSAU      ,2006,INFIN,4DSD,GAS     ,4027,,,05/31/2018,07/05/2020,WH   ,N,N,N
VEH ,5NPD84LF1HH087858,PAS,HARRISON       ,NY,10528,WESTCHESTER ,2017,HYUND,4DSD,GAS     ,2976,,,08/07/2018,08/23/2020,WH   ,N,N,N
VEH ,JNKBF01A55M101578,PAS,BUFFALO        ,NY,14208,ERIE        ,2005,INFIN,4DSD,GAS     ,3665,,,08/13/2018,08/12/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH087830,PAS,HUNTINGTON STA ,NY,11746,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,06/24/2018,08/02/2020,BL   ,N,N,N
VEH ,JNKBF01A55M101497,PAS,JAMAICA        ,NY,11433,QUEENS      ,2005,INFIN,4DSD,GAS     ,3914,,,08/21/2018,08/20/2020,BK   ,N,N,N
VEH ,5NPD84LF1HH087715,PAS,JAMESTOWN      ,NY,14701,CHAUTAUQUA  ,2017,HYUND,4DSD,GAS     ,3976,,,04/25/2018,10/26/2019,BL   ,N,N,N
VEH ,JNKBF01A55M101287,PAS,VALLEY STREAM  ,NY,11580,NASSAU      ,2005,INFIN,4DSD,GAS     ,3914,,,10/03/2018,10/05/2020,BK   ,N,N,N
VEH ,5NPD84LF1HH082904,PAS,MIDDLETOWN     ,NY,10941,ORANGE      ,2017,HYUND,4DSD,GAS     ,2976,,,05/30/2018,05/29/2020,BK   ,N,N,N
VEH ,JNKBF01A55M100575,PAS,LAURELTON      ,NY,11413,KINGS       ,2005,INFIN,4DSD,GAS     ,3914,,,03/28/2017,04/07/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH079484,PAS,FLORAL PK      ,NY,11001,QUEENS      ,2017,HYUND,4DSD,GAS     ,2976,,,07/13/2018,07/13/2020,GY   ,N,N,N
VEH ,JNKBF01A55M100429,PAS,PEEKSKILL      ,NY,10566,WESTCHESTER ,2005,INFIN,4DSD,GAS     ,3914,,,07/06/2018,06/27/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH079033,PAS,HICKSVILLE     ,NY,11801,NASSAU      ,2017,HYUND,4DSD,GAS     ,2976,,,10/29/2018,09/30/2020,GY   ,N,N,N
VEH ,JNKBF01A54M500411,PAS,ROCHESTER      ,NY,14615,MONROE      ,2004,INFIN,4DSD,GAS     ,3977,,,03/11/2018,11/08/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH078111,PAS,BROOKLYN       ,NY,11218,KINGS       ,2017,HYUND,4DSD,GAS     ,2976,,,03/02/2017,04/01/2019,GY   ,N,N,N
VEH ,JNKBF01A54M500375,PAS,SCHENECTADY    ,NY,12309,SCHENECTADY ,2004,INFIN,4DSD,GAS     ,3914,,,09/28/2017,09/27/2019,BR   ,N,Y,N
VEH ,5NPD84LF1HH077878,PAS,KIAMESHA LAKE  ,NY,12751,SULLIVAN    ,2017,HYUND,4DSD,GAS     ,2976,,,05/05/2017,05/08/2019,BK   ,N,N,N
VEH ,JNKBF01A53M102856,PAS,BAY SHORE      ,NY,11706,SUFFOLK     ,2003,INFIN,4DSD,GAS     ,3858,,,01/29/2019,03/17/2021,TN   ,N,N,N
VEH ,5NPD84LF1HH077797,PAS,STATEN ISLAND  ,NY,10309,RICHMOND    ,2017,HYUND,4DSD,GAS     ,2976,,,08/05/2018,08/08/2020,GY   ,N,N,N
VEH ,JNKBF01A53M102419,PAS,WAPPINGERS FL  ,NY,12590,DUTCHESS    ,2003,INFIN,4DSD,GAS     ,3858,,,05/21/2018,04/24/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH077279,PAS,SARATOGA SPGS  ,NY,12866,SARATOGA    ,2017,HYUND,4DSD,GAS     ,2976,,,01/11/2018,01/05/2020,BL   ,N,N,N
VEH ,JNKBF01A53M101996,PAS,BROOKLYN       ,NY,11236,KINGS       ,2003,INFIN,4DSD,GAS     ,3858,,,11/17/2018,12/19/2020,WH   ,N,N,N
VEH ,5NPD84LF1HH076231,PAS,WEST SENECA    ,NY,14224,ERIE        ,2017,HYUND,4DSD,GAS     ,2976,,,07/11/2017,08/06/2019,TN   ,N,N,N
VEH ,JNKBF01A53M101397,PAS,BROOKLYN       ,NY,11207,KINGS       ,2003,INFIN,4DSD,GAS     ,4211,,,05/21/2018,04/09/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH075631,PAS,BRONX          ,NY,10472,BRONX       ,2017,HYUND,4DSD,GAS     ,2976,,,11/04/2018,11/06/2020,GY   ,N,N,N
VEH ,JNKBF01A53M101349,PAS,AMITYVILLE     ,NY,11701,SUFFOLK     ,2003,INFIN,4DSD,GAS     ,3858,,,06/14/2017,07/22/2019,TN   ,N,N,N
VEH ,5NPD84LF1HH075466,PAS,BRONX          ,NY,10468,BRONX       ,2017,HYUND,4DSD,GAS     ,2976,,,08/09/2017,08/08/2019,GY   ,N,N,N
VEH ,JNKBF01A53M101240,PAS,BROOKLYN       ,NY,11236,KINGS       ,2003,INFIN,4DSD,GAS     ,3858,,,06/08/2017,05/29/2019,BK   ,N,N,N
VEH ,5NPD84LF1HH075452,PAS,WEST BABYLON   ,NY,11704,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,05/21/2018,06/23/2020,GY   ,N,N,N
VEH ,JNKBF01A53M100959,PAS,WHITE PLAINS   ,NY,10605,WESTCHESTER ,2003,INFIN,4DSD,GAS     ,3858,,,08/12/2017,08/21/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH075175,PAS,EAST NORTHPORT ,NY,11731,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,05/03/2018,05/31/2020,BL   ,N,N,N
VEH ,JNKBF01A52M007289,PAS,ST ALBANS      ,NY,11412,QUEENS      ,2002,INFIN,4DSD,GAS     ,3665,,,04/03/2018,05/12/2020,DK GR,N,N,N
VEH ,5NPD84LF1HH075032,PAS,GROTON         ,NY,13073,TOMPKINS    ,2017,HYUND,4DSD,GAS     ,2976,,,05/20/2018,06/26/2020,WH   ,N,N,N
VEH ,JNKBF01A52M007079,PAS,BROOKLYN       ,NY,11216,KINGS       ,2002,INFIN,4DSD,GAS     ,3665,,,10/09/2018,10/05/2020,BK   ,N,N,N
VEH ,5NPD84LF1HH074544,PAS,STATEN ISLAND  ,NY,10312,RICHMOND    ,2017,HYUND,4DSD,GAS     ,2976,,,06/18/2018,06/30/2020,BK   ,N,N,N
VEH ,JNKBF01A52M006434,PAS,EAST PATCHOGUE ,NY,11772,SUFFOLK     ,2002,INFIN,4DSD,GAS     ,3801,,,02/23/2017,02/22/2019,GR   ,N,N,N
VEH ,5NPD84LF1HH074446,PAS,ISLIP          ,NY,11751,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,09/03/2018,09/27/2020,WH   ,N,N,N
VEH ,JNKBF01A52M005039,PAS,BABYLON        ,NY,11702,SUFFOLK     ,2002,INFIN,4DSD,GAS     ,3665,,,07/25/2017,08/01/2019,BK   ,N,N,N
VEH ,5NPD84LF1HH074320,PAS,PLATTSBURGH    ,NY,12901,CLINTON     ,2017,HYUND,4DSD,GAS     ,2976,,,06/02/2017,06/21/2019,BL   ,N,N,N
VEH ,JNKBF01A52M004313,PAS,BUFFALO        ,NY,14215,ERIE        ,2002,INFIN,4DSD,GAS     ,3665,,,12/01/2018,12/10/2020,WH   ,N,N,N
VEH ,5NPD84LF1HH073779,PAS,WAPPINGERS FLS ,NY,12590,DUTCHESS    ,2017,HYUND,4DSD,GAS     ,2976,,,02/20/2018,03/14/2020,RD   ,N,N,N
VEH ,JNKBF01A52M003940,PAS,WESTBURY       ,NY,11590,NASSAU      ,2002,INFIN,4DSD,GAS     ,3801,,,06/13/2017,06/19/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH073698,SRF,NEWBURGH       ,NY,12550,ORANGE      ,2017,HYUND,4DSD,GAS     ,2976,,,07/10/2017,06/06/2019,WH   ,N,N,N
VEH ,JNKBF01A52M003937,PAS,BROOKLYN       ,NY,11216,KINGS       ,2002,INFIN,4DSD,GAS     ,3665,,,08/20/2018,09/29/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH073460,PAS,WEBSTER        ,NY,14580,MONROE      ,2017,HYUND,4DSD,GAS     ,2976,,,10/09/2018,07/29/2020,WH   ,N,N,N
VEH ,JNKBF01A52M003274,PAS,BROOKLYN       ,NY,11207,KINGS       ,2002,INFIN,4DSD,GAS     ,3267,,,12/29/2017,12/28/2019,GR   ,N,N,N
VEH ,5NPD84LF1HH073426,PAS,NANUET         ,NY,10954,ROCKLAND    ,2017,HYUND,4DSD,GAS     ,2976,,,03/08/2017,03/24/2019,BL   ,N,N,N
VEH ,JNKBF01A52M002951,PAS,AMITYVILLE     ,NY,11701,SUFFOLK     ,2002,INFIN,4DSD,GAS     ,3665,,,01/11/2019,07/09/2019,BK   ,N,N,N
VEH ,5NPD84LF1HH073393,PAS,GLEN COVE      ,NY,11542,NASSAU      ,2017,HYUND,4DSD,GAS     ,2976,,,10/24/2018,12/07/2020,RD   ,N,N,N
VEH ,JNKBF01A52M002884,PAS,BROOKLYN       ,NY,11203,KINGS       ,2002,INFIN,4DSD,GAS     ,3665,,,04/12/2017,04/24/2019,GY   ,N,N,N
VEH ,5NPD84LF1HH072339,PAS,CROMPOND       ,NY,10517,WESTCHESTER ,2017,HYUND,4DSD,GAS     ,2976,,,11/21/2018,12/03/2020,GY   ,N,N,N
VEH ,JNKBF01A52M000763,PAS,LEVITTOWN      ,NY,11756,NASSAU      ,2002,INFIN,4DSD,GAS     ,3665,,,01/09/2019,01/08/2021,GY   ,N,N,N
VEH ,5NPD84LF1HH072311,PAS,CORAM          ,NY,11727,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,3976,,,04/21/2018,05/26/2020,GY   ,N,N,N
VEH ,JNKBF01A45M101135,PAS,EAST ROCKAWAY  ,NY,11518,NASSAU      ,2005,INFIN,4DSD,GAS     ,3914,,,03/30/2017,06/21/2019,BK   ,N,N,N
VEH ,5NPD84LF1HH072308,PAS,RONKONKOMA     ,NY,11779,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,07/06/2017,07/09/2019,GY   ,N,N,N
VEH ,JNKBF01A45M101099,PAS,STATEN ISLAND  ,NY,10304,RICHMOND    ,2005,INFIN,4DSD,GAS     ,3914,,,12/20/2018,12/19/2020,BK   ,N,N,N
VEH ,5NPD84LF1HH071756,PAS,WARRENSBURG    ,NY,12885,WARREN      ,2017,HYUND,4DSD,GAS     ,2976,,,09/01/2017,08/21/2019,GY   ,N,N,N
VEH ,JNKBF01A45M100907,PAS,SYRACUSE       ,NY,13214,ONONDAGA    ,2005,INFIN,4DSD,GAS     ,3914,,,08/16/2018,05/18/2019,BR   ,N,N,N
VEH ,5NPD84LF1HH071580,PAS,LOCKPORT       ,NY,14094,NIAGARA     ,2017,HYUND,4DSD,GAS     ,2976,,,10/02/2017,09/29/2019,BK   ,N,N,N
VEH ,JNKBF01A45M100437,PAS,FARMINGDALE    ,NY,11735,NASSAU      ,2005,INFIN,4DSD,GAS     ,4050,,,08/20/2018,08/30/2020,BR   ,N,N,N
VEH ,5NPD84LF1HH070980,PAS,LIVERPOOL      ,NY,13088,ONONDAGA    ,2017,HYUND,4DSD,GAS     ,2976,,,06/15/2017,07/08/2019,GY   ,N,N,N
VEH ,JNKBF01A44M500075,PAS,ROSENDALE      ,NY,12472,ULSTER      ,2004,INFIN,4DSD,GAS     ,3841,,,03/26/2018,05/11/2020,TN   ,N,N,N
VEH ,5NPD84LF1HH070963,PAS,SOMERS         ,NY,10589,WESTCHESTER ,2017,HYUND,4DSD,GAS     ,2976,,,10/24/2018,11/24/2020,GY   ,N,N,N
VEH ,JNKBF01A43M103092,PAS,CENTER MORICHE ,NY,11934,NEW YORK    ,2003,INFIN,4DSD,GAS     ,3858,,,12/03/2018,10/27/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH070865,PAS,CENTRAL SQR    ,NY,13036,OSWEGO      ,2017,HYUND,4DSD,GAS     ,2976,,,11/02/2017,07/23/2019,BK   ,N,N,N
VEH ,JNKBF01A43M103027,PAS,HAUPPAUGE      ,NY,11788,SUFFOLK     ,2003,INFIN,4DSD,GAS     ,3858,,,10/03/2017,10/02/2019,WH   ,N,N,N
VEH ,5NPD84LF1HH070588,PAS,BINGHAMTON     ,NY,13905,BROOME      ,2017,HYUND,4DSD,GAS     ,2976,,,06/08/2018,05/14/2019,BK   ,N,N,N
VEH ,JNKBF01A43M102184,PAS,STATEN ISLAND  ,NY,10314,RICHMOND    ,2003,INFIN,4DSD,GAS     ,3585,,,02/04/2018,03/02/2020,WH   ,N,N,N
VEH ,5NPD84LF1HH070526,PAS,BEMUS POINT    ,NY,14712,CHAUTAUQUA  ,2017,HYUND,4DSD,GAS     ,2976,,,10/03/2017,10/04/2019,GY   ,N,N,N
VEH ,JNKBF01A43M101651,PAS,ROSEDALE       ,NY,11422,QUEENS      ,2003,INFIN,4DSD,GAS     ,3858,,,06/09/2018,07/11/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH069697,PAS,BROOKLYN       ,NY,11235,KINGS       ,2017,HYUND,4DSD,GAS     ,2976,,,04/14/2017,04/13/2019,RD   ,N,N,N
VEH ,JNKBF01A43M101570,PAS,FLORAL PARK    ,NY,11001,QUEENS      ,2003,INFIN,4DSD,GAS     ,3858,,,04/03/2018,05/04/2020,MR   ,N,N,N
VEH ,5NPD84LF1HH069375,PAS,MEDFORD        ,NY,11763,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,06/01/2018,05/27/2020,WH   ,N,N,N
VEH ,JNKBF01A43M100810,PAS,UNIONDALE      ,NY,11553,NASSAU      ,2003,INFIN,4DSD,GAS     ,3858,,,03/07/2018,02/10/2020,DK BR,N,N,N
VEH ,5NPD84LF1HH069358,PAS,NISKAYUNA      ,NY,12309,SCHENECTADY ,2017,HYUND,4DSD,GAS     ,2976,,,12/31/2018,01/11/2021,GY   ,N,N,N
VEH ,JNKBF01A42M006554,PAS,ACCORD         ,NY,12404,ULSTER      ,2002,INFIN,4DSD,GAS     ,3665,,,08/09/2018,08/22/2020,GY   ,N,N,N
VEH ,5NPD84LF1HH069344,PAS,CALVERTON      ,NY,11933,SUFFOLK     ,2017,HYUND,4DSD,GAS     ,2976,,,03/20/2017,03/03/2019,GY   ,N,N,N
